,Jnum,ROT_mean,ROT_std,SL_mean,SL_std,RDD_mean,RDD_std,NO_mean,NO_std,NO_max,U_mean,U_std,Ele_mean,Ele_low,WL_mean,WL_std,RDD_mean,RDD_std,NIV,NRT,Stay_mean,Stay_std,class
50,30,225.61666666666667,121.28215610257301,658.3828796626174,486.2647746486937,883.999546329284,531.8599242501311,0.5,0.5,1,0.93,0.0293,0.445,2,410.2916666666667,277.48712119764326,883.999546329284,531.8599242501311,0,179,420.1479586290444,231.63836643869055,1
51,43,191.98837209302326,90.1241061867166,414.96834492463404,470.81842880036135,606.9567170176573,502.1779623104384,0.5,0.5,1,0.9257,0.0187,0.7244,0,485.2083333333333,380.4613678556018,606.9567170176573,502.1779623104384,0,232,763.9524164382328,385.9108702373606,0
52,20,224.6,112.93135082872249,903.3810440135605,354.4865538056764,1127.9810440135604,402.50028780509007,0.3,0.46,1,0.7301,0.1319,0.67,0,264.5,171.64534657251852,1127.9810440135604,402.50028780509007,1,118,361.3323513695777,206.32800202586347,1
53,32,237.40625,119.49453684557089,686.9325955604336,415.4340875075151,924.3388455604336,487.17608905880724,0.5,0.5,1,0.9232,0.0276,0.4275,0,444.25,262.35698485079445,924.3388455604336,487.17608905880724,0,204,478.1315353939916,300.58688462510827,1
54,57,198.24561403508773,121.29260411952845,243.31870945155626,590.2146133838562,441.56432348664396,670.6447603928849,0.6,0.66,2,0.9386,0.0381,0.4973,2,658.8333333333334,440.03173812300804,441.56432348664396,670.6447603928849,0,306,898.8281778909453,476.00407608167427,1
55,46,228.05434782608697,118.22350003005864,387.242893601846,452.96617976153175,615.2972414279332,528.409802833376,0.3,0.46,1,0.9375,0.0193,0.6561,0,622.375,382.1767765598358,615.2972414279332,528.409802833376,0,281,689.2447660281625,424.9379033628757,2
56,26,197.73076923076923,118.0715420973845,641.8086125850239,444.44661247403144,839.539381815793,491.49121303550595,0.0,0.0,0,0.8709,0.0397,0.6493,0,303.75,231.66701139063082,839.539381815793,491.49121303550595,3,127,472.5145455807273,218.7434703886384,0
57,30,206.03333333333333,112.05303307908369,262.649731196543,510.99067816507653,468.68306452987633,546.320685622524,0.3,0.46,1,0.9324,0.0326,0.3459,1,357.8333333333333,275.0986439241184,468.68306452987633,546.320685622524,0,162,870.5166356856855,307.7332178873675,0
58,22,211.5909090909091,129.25341883676322,644.7889359402492,442.3675098348603,856.3798450311581,522.5362337772648,0.5,0.5,1,0.9367,0.0324,0.3244,5,270.5833333333333,170.82201181997073,856.3798450311581,522.5362337772648,0,131,399.769891386481,234.61744977037552,0
59,24,188.64583333333334,139.78320112221004,545.306666217712,522.0219150806714,733.9524995510452,610.6184701044879,0.4,0.49,1,0.9366,0.0074,0.8524,0,265.125,170.74177932870833,733.9524995510452,610.6184701044879,0,120,642.2863148215952,395.33442070362895,0
